,project,N_all,fail_accuracy_improvement_all,accuracy_improvement_all,f1_improvement_all,N_50,fail_accuracy_improvement_50,accuracy_improvement_50,f1_improvement_50,N_25,fail_accuracy_improvement_25,accuracy_improvement_25,f1_improvement_25,N_20,fail_accuracy_improvement_20,accuracy_improvement_20,f1_improvement_20,N_15,fail_accuracy_improvement_15,accuracy_improvement_15,f1_improvement_15,N_10,fail_accuracy_improvement_10,accuracy_improvement_10,f1_improvement_10
0,commons-pool2,11244,0.1647,-0.0611,-0.0321,4383,0.1677,-0.1528,-0.0844,319,-0.0235,-0.0288,-0.0148,77.0,-0.0359,-0.0009,-0.0003,3.0,-0.0359,-0.9229999999999999,-0.9598,1.0,-0.0235,-0.9849,-0.9924
1,commons-collections4,1389,0.0574,-0.3932,-0.3289,1126,0.0899,-0.4262,-0.3692,17,-0.11699999999999999,-0.6665,-0.6665,1.0,-1.0,-1.0,0.0,,,,,,,,
2,commons-numbers,39866,0.0482,0.0055,0.0028,39036,0.0482,0.0054,0.0028,18974,0.0385,0.0041,0.0021,3363.0,0.0159,0.0149,0.0077,941.0,-0.01,-0.0288,-0.0154,100.0,0.0476,-0.1975,-0.1123
3,JSON-java,12911,0.0199,0.0149,0.0076,10813,0.0206,0.0122,0.0062,391,0.0099,-0.1753,-0.0997,148.0,-0.171,0.0289,0.0309,38.0,-0.0772,-0.2392,-0.2067,17.0,0.495,-0.9093,-0.9838
4,spark,5280,0.0114,0.0517,0.0292,3872,-0.0052,0.0488,0.0277,201,-0.0244,-0.2326,-0.1576,77.0,-0.3974,0.0203,0.1349,37.0,-0.4545,0.0143,0.1409,,,,
5,joda-time,27480,0.0096,0.0475,0.0264,18505,0.0098,0.0133,0.0074,2523,0.0185,-0.1392,-0.0883,1099.0,-0.1583,0.1336,0.1144,340.0,-0.1453,0.0732,0.0692,79.0,0.1522,-0.312,-0.2515
6,http-request,4069,-0.0185,0.0017,0.0008,3987,-0.0185,0.0018,0.0009,301,-0.0185,0.002,0.001,,,,,,,,,,,,
7,jsoup,8002,-0.028999999999999998,0.0398,0.0222,7930,-0.0282,0.0408,0.0228,3546,-0.0383,0.0556,0.0307,1474.0,-0.0799,0.0761,0.0447,175.0,-0.064,-0.2084,-0.1436,58.0,-0.0143,-0.2939,-0.2027
8,commons-lang3,12118,-0.044000000000000004,0.0619,0.0382,12046,-0.0442,0.062,0.0383,4369,-0.0542,0.055999999999999994,0.0348,2121.0,-0.0813,0.0752,0.0476,684.0,-0.0356,0.0098,0.0061,176.0,-0.0642,-0.077,-0.0507
9,bcel,15379,-0.0487,0.0901,0.0609,14767,-0.0465,0.0963,0.0647,1414,-0.075,0.0748,0.0522,439.0,0.0221,0.0523,0.0348,49.0,0.1167,-0.1735,-0.179,5.0,-0.1655,-0.7215,-0.8328
10,commons-rng,1641,-0.0817,0.091,0.078,1609,-0.08,0.0902,0.0772,250,-0.2128,0.0223,0.0349,115.0,-0.1903,0.052000000000000005,0.0693,51.0,-0.1139,0.0032,0.0192,2.0,-0.2669,0.3823,0.2588
11,commons-validator,2616,-0.0827,0.0285,0.0209,2560,-0.0843,0.0271,0.02,505,-0.1128,0.0275,0.021,229.0,-0.0724,-0.1083,-0.0651,93.0,-0.0724,0.0415,0.0237,6.0,-0.159,0.2552,0.1504
12,commons-jcs3,4562,-0.1115,0.0904,0.0579,4149,-0.1165,0.1051,0.0665,223,0.0166,0.0203,0.0116,69.0,-0.1373,0.1436,0.1373,25.0,-0.1762,0.1935,0.1762,5.0,-0.1501,0.0355,0.0255
13,commons-geometry,5438,-0.1684,0.11599999999999999,0.0929,4680,-0.1712,0.1159,0.0929,363,-0.1991,0.1655,0.1256,101.0,-0.1905,0.0606,0.0495,25.0,-0.1905,-0.0519,-0.0288,,,,
14,commons-imaging,2858,-0.18600000000000003,0.1085,0.0815,2259,-0.1858,0.0559,0.0474,173,-0.1836,-0.1133,-0.0786,17.0,-0.4597,0.0412,0.1833,,,,,,,,
15,commons-configuration2,1253,-0.2117,0.1048,0.1153,1176,-0.222,0.1013,0.1135,205,-0.2209,0.0538,0.0743,70.0,-0.4601,0.0021,0.1979,8.0,-0.539,0.0021,0.2181,2.0,-0.3073,-0.055999999999999994,-0.0058
16,commons-dbutils,731,-0.2175,0.1115,0.0864,676,-0.2175,0.1293,0.0975,19,-0.2175,-0.0921,-0.0583,9.0,-0.107,0.0885,0.0571,,,,,,,,
17,commons-vfs,1072,-0.2295,0.0567,0.0643,977,-0.2336,0.0724,0.076,109,-0.2774,0.2347,0.1833,17.0,-0.2432,0.1235,0.1057,7.0,-0.2432,0.2159,0.1621,,,,
18,commons-jexl3,2946,-0.2324,0.1198,0.0995,2866,-0.2347,0.1218,0.1009,218,-0.2511,0.0204,0.0321,41.0,-0.3659,0.0972,0.1306,18.0,-0.3659,0.3831,0.3079,11.0,-0.2511,0.3598,0.2365
19,springside4,2590,-0.2353,0.1078,0.1058,2531,-0.2369,0.1169,0.1124,870,-0.2451,0.0633,0.0738,400.0,-0.3457,0.087,0.1423,93.0,-0.2912,0.0279,0.0815,8.0,-0.2829,-0.4657,-0.4916
20,async-http-client,163,-0.258,0.1017,0.1047,140,-0.2571,0.0717,0.0828,7,-0.2793,-0.1568,-0.1085,1.0,-1.0,-1.0,0.0,,,,,,,,
21,commons-weaver,232,-0.2797,0.1098,0.1293,210,-0.2881,0.127,0.1425,23,-0.331,0.2721,0.2404,6.0,0.0,0.0,0.0,,,,,,,,
22,commons-net,3369,-0.3013,0.1051,0.1281,3327,-0.3008,0.1053,0.1282,424,-0.3148,0.1215,0.1416,152.0,-0.1396,0.0688,0.0568,47.0,-0.0026,0.0129,0.0063,3.0,-0.3392,0.447,0.3376
23,commons-beanutils,1708,-0.3577,0.0067,0.0873,1691,-0.3575,0.0055,0.0861,455,-0.3616,-0.1056,-0.0214,126.0,-0.5175,-0.0525,0.1252,8.0,-0.5175,-0.2549,-0.0978,,,,
24,scribejava,182,-0.4811,0.0068,0.1631,158,-0.4778,0.0583,0.2071,19,-0.4923,0.0802,0.2273,4.0,-0.7471,-0.3706,0.2105,1.0,-0.7471,-0.6206,-0.1895,,,,
25,all,169099,-0.0195,0.0557,0.0325,145474,-0.0199,0.0461,0.027000000000000003,35918,-0.035,0.0667,0.0387,10156.0,-0.0698,0.049,0.0302,2643.0,-0.0412,-0.0187,-0.0126,473.0,-0.0004,-0.175,-0.1208
